country,total_cases,total_deaths,total_recovered,active_cases,total_test,population,death_rate(%),recovery_rate(%),incidence_rate
USA,104196861.0,1132935.0,101322779.0,1741147.0,1159832679.0,334805269.0,1.0873024284292019,97.24168082184357,311.2163118316994
India,44682784.0,530740.0,44150289.0,1755.0,915265788.0,1406631776.0,1.187795281511555,98.80827703126108,31.76580023455975
France,39524311.0,164233.0,39264546.0,95532.0,271490188.0,65584518.0,0.41552400495988406,99.34277159189442,602.6469692130695
Germany,37779833.0,165711.0,37398100.0,216022.0,122332384.0,83883596.0,0.4386229023299283,98.98958526365111,450.3840417141869
Brazil,36824580.0,697074.0,35919372.0,208134.0,63776166.0,215353593.0,1.8929584532939685,97.54183754437933,170.99589325170905
Japan,32588442.0,68399.0,21567425.0,10952618.0,92144639.0,125584838.0,0.2098872968520557,66.18120927658954,259.49344299030747
S. Korea,30197066.0,33486.0,29740877.0,422703.0,15804065.0,51329899.0,0.11089156807485867,98.48929362872538,588.2938908568669
Italy,25453789.0,186833.0,25014986.0,251970.0,265478247.0,60262770.0,0.7340085988769687,98.27607984021553,422.3800034415942
UK,24274361.0,204171.0,24020088.0,50102.0,522526476.0,68497907.0,0.8410973207492465,98.95250383727918,354.3810615994442
Russia,21958696.0,395108.0,21356008.0,207580.0,273400000.0,145805947.0,1.799323602822317,97.2553561468313,150.60219731640987
Spain,13731478.0,118434.0,13557699.0,55345.0,471036328.0,46719142.0,0.8625000163857088,98.73444795964426,293.915457608361
Vietnam,11526508.0,43186.0,10612479.0,870843.0,85826548.0,98953541.0,0.37466681149225767,92.07020027227674,116.48403769603354
Australia,11295446.0,18615.0,11235771.0,41060.0,78835048.0,26068792.0,0.16480092950734304,99.47168974115763,433.29380202964524
Argentina,10037135.0,130421.0,9877032.0,29682.0,35716069.0,46010234.0,1.2993847347873673,98.40489342825418,218.15005331205228
Taiwan,9569611.0,16356.0,9129766.0,423489.0,30207485.0,23888595.0,0.1709160382799259,95.40373166683578,400.5932956710095
Netherlands,8582500.0,22989.0,8547771.0,11740.0,25984435.0,17211447.0,0.2678590154383921,99.59535100495194,498.65069450581353
Iran,7564350.0,144749.0,7337549.0,82052.0,54420785.0,86022837.0,1.9135682510724648,97.00171197789632,87.93420751747585
Mexico,7368252.0,332198.0,6606633.0,429421.0,19356195.0,131562772.0,4.50850486655451,89.66350499412886,56.00560012523908
Indonesia,6730289.0,160817.0,6565208.0,4264.0,114158919.0,279134505.0,2.389451626817214,97.54719299572426,24.111275673353248
Poland,6380225.0,118736.0,5335940.0,925549.0,38118630.0,37739785.0,1.8610001998362127,83.63247377639503,169.05832929360886
Colombia,6356309.0,142486.0,6179501.0,34322.0,36951507.0,51512762.0,2.241646842530783,97.21838570151326,123.39289824917562
Austria,5780229.0,21689.0,5730189.0,28351.0,211273524.0,9066710.0,0.3752273482590396,99.13429035424029,637.5222103717887
Greece,5708301.0,35630.0,5662212.0,10459.0,102228365.0,10316637.0,0.624178717975804,99.19259688653419,553.3102502297987
Portugal,5563907.0,26022.0,5532366.0,5519.0,45915651.0,10140570.0,0.46769293591715316,99.43311417678261,548.6779342778561
Ukraine,5370131.0,111020.0,5253302.0,5809.0,32603805.0,43192122.0,2.0673611127922205,97.82446647949557,124.3312611498921
Chile,5118981.0,63812.0,5051555.0,3614.0,48127301.0,19250195.0,1.2465762228849844,98.6828237885626,265.9183971902622
Malaysia,5036593.0,36942.0,4989861.0,9790.0,67665089.0,33181072.0,0.7334720117349168,99.07215055891949,151.79114767600035
Israel,4786189.0,12193.0,4768242.0,5754.0,41373364.0,9326000.0,0.2547538344181561,99.62502525495755,513.2092000857816
DPRK,4772813.0,74.0,4772739.0,0.0,0.0,25990679.0,0.0015504483414707426,99.99844955165852,183.6355641189674
Thailand,4726984.0,33865.0,4692636.0,483.0,17270775.0,70078203.0,0.716418756653291,99.27336331157457,67.4529853455289
Belgium,4691499.0,33557.0,4644681.0,13261.0,36548544.0,11668278.0,0.7152724534311954,99.00206735629699,402.07295369548103
Czechia,4590019.0,42312.0,4538304.0,9403.0,56893223.0,10736784.0,0.9218262495209715,98.87331621067364,427.50408315935204
Canada,4550256.0,50380.0,4444013.0,55863.0,66343123.0,38388419.0,1.1071904525811294,97.66512038004016,118.5319978923852
Peru,4481621.0,218931.0,4258688.0,4002.0,37754603.0,33684208.0,4.885085106482677,95.02561684711848,133.04813341611
Switzerland,4385701.0,14452.0,4366770.0,4479.0,23318743.0,8773637.0,0.32952542820406594,99.56834722658931,499.8726297885358
Philippines,4073454.0,65802.0,3998048.0,9604.0,34343332.0,112508994.0,1.615385861728155,98.1488437085579,36.20558548412583
South Africa,4055966.0,102595.0,3912506.0,40865.0,26473049.0,60756135.0,2.529483728413897,96.46298810197126,66.75813068095921
Romania,3325006.0,67576.0,3252104.0,5326.0,26389988.0,19031335.0,2.0323572348440875,97.807462603075,174.71217862540908
Denmark,3173247.0,8145.0,3163849.0,1253.0,129144754.0,5834950.0,0.256677151195605,99.70383648042525,543.8344801583561
Hong Kong,2877280.0,13358.0,2509483.0,354439.0,76123870.0,7604299.0,0.46425791024856805,87.21719818717678,378.3754426279135
Sweden,2693458.0,23246.0,2658039.0,12173.0,19410527.0,10218971.0,0.8630541111092136,98.68499898643306,263.5742874698441
Serbia,2471198.0,17701.0,2440527.0,12970.0,12154486.0,8653016.0,0.7162922598674812,98.7588610868089,285.5880539224705
Iraq,2465545.0,25375.0,2439497.0,673.0,19544451.0,42164965.0,1.029184216876999,98.9435195869473,58.47378267715863
Singapore,2217110.0,1722.0,2144490.0,70898.0,24756666.0,5943546.0,0.0776686767909576,96.7245648614638,373.02815524604335
